BITSKINS.sellOrder.original.price,BITSKINS.sellOrder.original.currency,BITSKINS.sellOrder.converted.price,BITSKINS.sellOrder.converted.currency,BITSKINS.sellOrder.count,BITSKINS.buyOrder,BITSKINS.updatedAt,SKINBARON.sellOrder.original.price,SKINBARON.sellOrder.original.currency,SKINBARON.sellOrder.converted.price,SKINBARON.sellOrder.converted.currency,SKINBARON.sellOrder.count,SKINBARON.buyOrder,SKINBARON.updatedAt,SKINPORT.sellOrder.original.price,SKINPORT.sellOrder.original.currency,SKINPORT.sellOrder.converted.price,SKINPORT.sellOrder.converted.currency,SKINPORT.sellOrder.count,SKINPORT.buyOrder,SKINPORT.updatedAt,CSFLOAT.sellOrder.original.price,CSFLOAT.sellOrder.original.currency,CSFLOAT.sellOrder.converted.price,CSFLOAT.sellOrder.converted.currency,CSFLOAT.sellOrder.count,CSFLOAT.buyOrder,CSFLOAT.updatedAt,MARKETCSGO.sellOrder.original.price,MARKETCSGO.sellOrder.original.currency,MARKETCSGO.sellOrder.converted.price,MARKETCSGO.sellOrder.converted.currency,MARKETCSGO.sellOrder.count,MARKETCSGO.buyOrder,MARKETCSGO.updatedAt,BUFF163.sellOrder.original.price,BUFF163.sellOrder.original.currency,BUFF163.sellOrder.converted.price,BUFF163.sellOrder.converted.currency,BUFF163.sellOrder.count,BUFF163.buyOrder.original.price,BUFF163.buyOrder.original.currency,BUFF163.buyOrder.converted.price,BUFF163.buyOrder.converted.currency,BUFF163.buyOrder.count,BUFF163.updatedAt,CSMONEY.sellOrder.original.price,CSMONEY.sellOrder.original.currency,CSMONEY.sellOrder.converted.price,CSMONEY.sellOrder.converted.currency,CSMONEY.sellOrder.count,CSMONEY.buyOrder,CSMONEY.updatedAt,DMARKET.sellOrder.original.price,DMARKET.sellOrder.original.currency,DMARKET.sellOrder.converted.price,DMARKET.sellOrder.converted.currency,DMARKET.sellOrder.count,DMARKET.buyOrder.original.price,DMARKET.buyOrder.original.currency,DMARKET.buyOrder.converted.price,DMARKET.buyOrder.converted.currency,DMARKET.buyOrder.count,DMARKET.updatedAt
5.19,USD,5.19,USD,120,,2024-04-14T15:09:15.431Z,5.3,EUR,5.66,USD,32,,2024-04-14T16:04:07.328Z,5.84,EUR,6.21,USD,65,,2024-04-14T16:03:09.408Z,5.74,USD,5.74,USD,39,,2024-04-14T16:01:05.092Z,5.49,USD,5.49,USD,19,,2024-04-14T16:05:05.870Z,39.74,CNY,5.49,USD,361,38.6,CNY,5.33,USD,154,2024-04-14T16:04:24.814Z,5.53,USD,5.53,USD,72,,2024-04-14T16:04:39.011Z,5.01,USD,5.01,USD,41,4.74,USD,4.74,USD,21,2024-04-14T16:02:09.169Z
6.26,USD,6.26,USD,68,,2024-04-14T15:13:05.206Z,5.75,EUR,6.14,USD,32,,2024-04-14T16:04:07.328Z,5.74,EUR,6.1,USD,46,,2024-04-14T16:03:09.408Z,6.07,USD,6.07,USD,37,,2024-04-14T16:01:05.092Z,6.09,USD,6.09,USD,48,,2024-04-14T16:05:05.870Z,44.6,CNY,6.16,USD,682,42.9,CNY,5.92,USD,147,2024-04-14T15:57:21.125Z,5.79,USD,5.79,USD,69,,2024-04-14T16:04:39.013Z,6.27,USD,6.27,USD,53,6.11,USD,6.11,USD,41,2024-04-14T16:02:13.845Z
4.62,USD,4.62,USD,5,,2024-04-14T15:18:25.418Z,9,EUR,9.6,USD,15,,2024-04-14T16:04:07.328Z,6.14,EUR,6.53,USD,14,,2024-04-14T16:03:09.408Z,5.3,USD,5.3,USD,10,,2024-04-14T16:01:05.092Z,5.88,USD,5.88,USD,41,,2024-04-14T16:05:05.870Z,37.57,CNY,5.19,USD,83,34.4,CNY,4.75,USD,6,2024-04-14T16:02:56.833Z,4.94,USD,4.94,USD,32,,2024-04-14T16:04:39.006Z,5.21,USD,5.21,USD,18,4.59,USD,4.59,USD,15,2024-04-14T16:02:21.342Z
28.49,USD,28.49,USD,1,,2024-04-14T15:20:59.136Z,,,,,,,,30,EUR,31.89,USD,4,,2024-04-14T16:03:09.408Z,29.45,USD,29.45,USD,21,,2024-04-14T16:01:05.092Z,34.97,USD,34.97,USD,7,,2024-04-14T16:05:05.870Z,198,CNY,27.36,USD,66,168,CNY,23.21,USD,6,2024-04-14T16:04:24.814Z,26.68,USD,26.68,USD,17,,2024-04-14T16:04:39.037Z,24.35,USD,24.35,USD,3,21.76,USD,21.76,USD,8,2024-04-14T16:02:24.328Z
222.22,USD,222.22,USD,2,,2024-04-14T15:07:05.876Z,,,,,,,,303.09,EUR,322.2,USD,1,,2024-04-14T16:03:09.408Z,190,USD,190,USD,6,,2024-04-14T16:01:05.092Z,210,USD,210,USD,1,,2024-04-14T10:00:07.821Z,1089.5,CNY,150.55,USD,31,946,CNY,130.72,USD,7,2024-04-14T16:05:00.216Z,275,USD,275,USD,2,,2024-04-14T16:04:39.043Z,151.52,USD,151.52,USD,2,130.05,USD,130.05,USD,8,2024-04-14T16:02:06.692Z
24.6,USD,24.6,USD,10,,2024-04-14T15:14:09.913Z,24.99,EUR,26.67,USD,7,,2024-04-14T16:04:07.328Z,26.33,EUR,27.99,USD,22,,2024-04-14T16:03:09.408Z,25.9,USD,25.9,USD,85,,2024-04-14T16:01:05.092Z,26.1,USD,26.1,USD,41,,2024-04-14T16:05:05.870Z,178.5,CNY,24.66,USD,344,171,CNY,23.62,USD,118,2024-04-14T15:56:02.629Z,23.98,USD,23.98,USD,61,,2024-04-14T16:04:39.035Z,23.08,USD,23.08,USD,28,22.34,USD,22.34,USD,13,2024-04-14T16:02:15.534Z
32.99,USD,32.99,USD,10,,2024-04-14T15:19:34.408Z,30.28,EUR,32.31,USD,12,,2024-04-14T16:04:07.328Z,32,EUR,34.02,USD,29,,2024-04-14T16:03:09.408Z,34.5,USD,34.5,USD,93,,2024-04-14T16:01:05.092Z,32.57,USD,32.57,USD,36,,2024-04-14T16:05:05.870Z,238.33,CNY,32.93,USD,370,223,CNY,30.81,USD,135,2024-04-14T15:58:07.245Z,33,USD,33,USD,65,,2024-04-14T16:04:39.041Z,31.39,USD,31.39,USD,16,29.84,USD,29.84,USD,17,2024-04-14T16:02:23.045Z
,,,,,,,22.58,EUR,24.1,USD,3,,2024-04-14T16:04:07.328Z,1847.17,EUR,1963.63,USD,1,,2024-04-14T16:03:09.408Z,27.92,USD,27.92,USD,12,,2024-04-14T16:01:05.092Z,28.58,USD,28.58,USD,14,,2024-04-14T16:05:05.870Z,180.47,CNY,24.93,USD,36,165,CNY,22.8,USD,5,2024-04-14T15:58:22.558Z,27.4,USD,27.4,USD,17,,2024-04-14T16:04:39.039Z,25.37,USD,25.37,USD,6,21.87,USD,21.87,USD,7,2024-04-14T16:02:05.534Z
121.69,USD,121.69,USD,24,,2024-04-14T15:13:02.417Z,107,EUR,114.18,USD,56,,2024-04-14T16:04:07.328Z,114.18,EUR,121.38,USD,117,,2024-04-14T16:03:09.408Z,105,USD,105,USD,68,,2024-04-14T16:01:05.092Z,128.71,USD,128.71,USD,28,,2024-04-14T16:05:05.870Z,879,CNY,121.46,USD,1929,1400,CNY,193.46,USD,368,2024-04-14T15:56:18.449Z,126.38,USD,126.38,USD,60,,2024-04-14T16:04:39.091Z,113.49,USD,113.49,USD,78,146.27,USD,146.27,USD,36,2024-04-14T16:02:13.435Z
85.18,USD,85.18,USD,30,,2024-04-14T15:33:15.956Z,85,EUR,90.71,USD,22,,2024-04-14T16:04:07.328Z,82.27,EUR,87.46,USD,84,,2024-04-14T16:03:09.408Z,87.69,USD,87.69,USD,61,,2024-04-14T16:01:05.092Z,91.96,USD,91.96,USD,58,,2024-04-14T16:05:05.870Z,665,CNY,91.89,USD,1054,646,CNY,89.26,USD,231,2024-04-14T15:55:28.606Z,88.97,USD,88.97,USD,77,,2024-04-14T16:04:39.085Z,85.71,USD,85.71,USD,100,85.4,USD,85.4,USD,35,2024-04-14T16:02:20.455Z
95.54,USD,95.54,USD,35,,2024-04-14T15:17:27.710Z,88.72,EUR,94.68,USD,57,,2024-04-14T16:04:07.328Z,90.1,EUR,95.78,USD,82,,2024-04-14T16:03:09.408Z,93.96,USD,93.96,USD,56,,2024-04-14T16:01:05.092Z,105.12,USD,105.12,USD,31,,2024-04-14T16:05:05.870Z,726,CNY,100.32,USD,1638,725,CNY,100.18,USD,255,2024-04-14T15:58:22.558Z,91.78,USD,91.78,USD,59,,2024-04-14T16:04:39.088Z,92.88,USD,92.88,USD,70,93.06,USD,93.06,USD,39,2024-04-14T16:02:20.373Z
97,USD,97,USD,3,,2024-04-14T15:10:35.097Z,90,EUR,96.04,USD,2,,2024-04-14T16:04:07.328Z,78.42,EUR,83.36,USD,23,,2024-04-14T16:03:09.408Z,83.15,USD,83.15,USD,8,,2024-04-14T16:01:05.092Z,90.92,USD,90.92,USD,16,,2024-04-14T16:05:05.870Z,630,CNY,87.05,USD,39,600,CNY,82.91,USD,19,2024-04-14T16:04:24.814Z,84.61,USD,84.61,USD,20,,2024-04-14T16:04:39.082Z,82.27,USD,82.27,USD,29,78.24,USD,78.24,USD,22,2024-04-14T16:02:06.077Z
11.86,USD,11.86,USD,53,,2024-04-14T15:52:51.175Z,12.79,EUR,13.65,USD,53,,2024-04-14T16:04:07.328Z,12.2,EUR,12.97,USD,134,,2024-04-14T16:03:09.408Z,12.57,USD,12.57,USD,205,,2024-04-14T16:01:05.092Z,12.96,USD,12.96,USD,44,,2024-04-14T16:05:05.870Z,91.03,CNY,12.57,USD,1854,89,CNY,12.29,USD,280,2024-04-14T15:56:02.629Z,13,USD,13,USD,178,,2024-04-14T16:04:39.097Z,12.15,USD,12.15,USD,145,12.36,USD,12.36,USD,52,2024-04-14T16:02:25.729Z
9.4,USD,9.4,USD,62,,2024-04-14T15:07:05.698Z,9.64,EUR,10.29,USD,20,,2024-04-14T16:04:07.328Z,9.11,EUR,9.68,USD,110,,2024-04-14T16:03:09.408Z,8.8,USD,8.8,USD,234,,2024-04-14T16:01:05.092Z,10.9,USD,10.9,USD,76,,2024-04-14T16:05:05.870Z,70,CNY,9.67,USD,1354,69,CNY,9.53,USD,248,2024-04-14T15:59:39.222Z,8.7,USD,8.7,USD,204,,2024-04-14T16:04:39.090Z,9.36,USD,9.36,USD,127,9.24,USD,9.24,USD,57,2024-04-14T16:02:08.682Z
10.76,USD,10.76,USD,70,,2024-04-14T15:52:04.338Z,10.99,EUR,11.73,USD,41,,2024-04-14T16:04:07.328Z,9.94,EUR,10.57,USD,155,,2024-04-14T16:03:09.408Z,10.02,USD,10.02,USD,279,,2024-04-14T16:01:05.092Z,11.5,USD,11.5,USD,52,,2024-04-14T16:05:05.870Z,75,CNY,10.36,USD,20,72,CNY,9.94,USD,57,2024-04-14T15:57:21.125Z,11.09,USD,11.09,USD,234,,2024-04-14T16:04:39.092Z,10.18,USD,10.18,USD,156,10.1,USD,10.1,USD,63,2024-04-14T16:02:15.865Z
14.07,USD,14.07,USD,7,,2024-04-14T15:20:47.374Z,12.02,EUR,13.06,USD,1,,2024-04-09T14:42:49.759Z,13.85,EUR,14.72,USD,8,,2024-04-14T16:03:09.408Z,15.99,USD,15.99,USD,8,,2024-04-14T16:01:05.092Z,13.59,USD,13.59,USD,10,,2024-04-14T16:05:05.870Z,102.9,CNY,14.21,USD,43,91,CNY,12.57,USD,7,2024-04-14T15:58:53.088Z,12.71,USD,12.71,USD,20,,2024-04-14T16:04:39.094Z,12.72,USD,12.72,USD,13,11.67,USD,11.67,USD,18,2024-04-14T16:02:24.948Z
14.99,USD,14.99,USD,3,,2024-04-14T15:15:36.053Z,14.28,EUR,15.24,USD,5,,2024-04-14T16:04:07.328Z,10.17,EUR,10.81,USD,3,,2024-04-14T16:03:09.408Z,8.57,USD,8.57,USD,17,,2024-04-14T16:01:05.092Z,11.49,USD,11.49,USD,17,,2024-04-14T16:05:05.870Z,67.87,CNY,9.37,USD,120,65,CNY,8.98,USD,21,2024-04-14T15:57:05.341Z,9.18,USD,9.18,USD,28,,2024-04-14T16:04:39.141Z,9.72,USD,9.72,USD,21,8.9,USD,8.9,USD,40,2024-04-14T16:02:17.724Z
23.35,USD,23.35,USD,18,,2024-04-14T15:22:47.329Z,24.5,EUR,26.15,USD,20,,2024-04-14T16:04:07.328Z,21.9,EUR,23.28,USD,32,,2024-04-14T16:03:09.408Z,21.3,USD,21.3,USD,36,,2024-04-14T16:01:05.092Z,26.12,USD,26.12,USD,8,,2024-04-14T16:05:05.870Z,171.5,CNY,23.69,USD,679,322,CNY,44.49,USD,193,2024-04-14T16:05:00.216Z,21.79,USD,21.79,USD,27,,2024-04-14T16:04:39.146Z,23.59,USD,23.59,USD,41,33.36,USD,33.36,USD,48,2024-04-14T16:02:17.815Z
9.54,USD,9.54,USD,90,,2024-04-14T16:02:30.970Z,10.6,EUR,11.31,USD,19,,2024-04-14T16:04:07.328Z,8.35,EUR,8.88,USD,33,,2024-04-14T16:03:09.408Z,8.69,USD,8.69,USD,69,,2024-04-14T16:01:05.092Z,11.42,USD,11.42,USD,28,,2024-04-14T16:05:05.870Z,67.7,CNY,9.35,USD,1526,66,CNY,9.12,USD,354,2024-04-14T15:57:36.421Z,8.38,USD,8.38,USD,93,,2024-04-14T16:04:39.131Z,8.92,USD,8.92,USD,76,8.87,USD,8.87,USD,53,2024-04-14T16:02:23.282Z
13.5,USD,13.5,USD,23,,2024-04-14T15:10:51.855Z,24.89,EUR,26.56,USD,12,,2024-04-14T16:04:07.328Z,11.99,EUR,12.75,USD,47,,2024-04-14T16:03:09.408Z,12.2,USD,12.2,USD,49,,2024-04-14T16:01:05.092Z,13.36,USD,13.36,USD,21,,2024-04-14T16:05:05.870Z,88.5,CNY,12.22,USD,1604,87,CNY,12.02,USD,200,2024-04-14T15:58:22.558Z,13.5,USD,13.5,USD,52,,2024-04-14T16:04:39.145Z,11.93,USD,11.93,USD,85,11.85,USD,11.85,USD,46,2024-04-14T16:02:11.260Z
12.6,USD,12.6,USD,6,,2024-04-14T15:12:31.881Z,19.85,EUR,21.18,USD,1,,2024-04-14T16:04:07.328Z,10.56,EUR,11.23,USD,8,,2024-04-14T16:03:09.408Z,11.7,USD,11.7,USD,4,,2024-04-14T16:01:05.092Z,12.95,USD,12.95,USD,17,,2024-04-14T16:05:05.870Z,88.85,CNY,12.27,USD,39,80,CNY,11.05,USD,11,2024-04-14T15:58:37.967Z,12.63,USD,12.63,USD,9,,2024-04-14T16:04:39.143Z,11.56,USD,11.56,USD,11,10.83,USD,10.83,USD,32,2024-04-14T16:02:12.525Z
178.87,USD,178.87,USD,9,,2024-04-14T15:13:51.243Z,159.34,EUR,170.04,USD,11,,2024-04-14T16:04:07.328Z,159.11,EUR,169.14,USD,46,,2024-04-14T16:03:09.408Z,166.68,USD,166.68,USD,106,,2024-04-14T16:01:05.092Z,182.24,USD,182.24,USD,20,,2024-04-14T16:05:05.870Z,1269.48,CNY,175.42,USD,262,6660,CNY,920.32,USD,25,2024-04-14T16:04:02.903Z,171.88,USD,171.88,USD,66,,2024-04-14T16:04:39.094Z,180.28,USD,180.28,USD,37,2837.6,USD,2837.6,USD,100,2024-04-14T16:02:15.061Z
334.78,USD,334.78,USD,16,,2024-04-14T15:17:58.443Z,370.49,EUR,395.37,USD,14,,2024-04-14T16:04:07.328Z,335.02,EUR,356.14,USD,50,,2024-04-14T16:03:09.408Z,0.03,USD,0.03,USD,86,,2024-04-14T16:01:05.092Z,399.83,USD,399.83,USD,16,,2024-04-14T16:05:05.870Z,2644.5,CNY,365.43,USD,794,19110,CNY,2640.74,USD,72,2024-04-14T15:56:02.629Z,369.91,USD,369.91,USD,28,,2024-04-14T16:04:39.102Z,341.99,USD,341.99,USD,25,5645.4,USD,5645.4,USD,117,2024-04-14T16:02:20.653Z
243.77,USD,243.77,USD,14,,2024-04-14T15:12:00.552Z,220,EUR,234.77,USD,23,,2024-04-14T16:04:07.328Z,227.94,EUR,242.31,USD,119,,2024-04-14T16:03:09.408Z,235,USD,235,USD,179,,2024-04-14T16:01:05.092Z,264.36,USD,264.36,USD,23,,2024-04-14T16:05:05.870Z,1750,CNY,241.82,USD,1371,9980,CNY,1379.1,USD,94,2024-04-14T15:56:49.405Z,252.63,USD,252.63,USD,68,,2024-04-14T16:04:39.098Z,235.99,USD,235.99,USD,70,3960.2,USD,3960.2,USD,126,2024-04-14T16:02:12.109Z
290.26,USD,290.26,USD,10,,2024-04-14T15:09:16.542Z,285.44,EUR,304.61,USD,18,,2024-04-14T16:04:07.328Z,250,EUR,265.76,USD,138,,2024-04-14T16:03:09.408Z,200,USD,200,USD,135,,2024-04-14T16:01:05.092Z,288.4,USD,288.4,USD,30,,2024-04-14T16:05:05.870Z,2029.99,CNY,280.51,USD,1581,12250,CNY,1692.78,USD,86,2024-04-14T16:04:02.903Z,288.11,USD,288.11,USD,64,,2024-04-14T16:04:39.100Z,272.99,USD,272.99,USD,45,4186.4,USD,4186.4,USD,146,2024-04-14T16:02:08.943Z
192.95,USD,192.95,USD,7,,2024-04-14T15:11:16.684Z,180.16,EUR,192.26,USD,15,,2024-04-14T16:04:07.328Z,166.21,EUR,176.69,USD,59,,2024-04-14T16:03:09.408Z,177.99,USD,177.99,USD,101,,2024-04-14T16:01:05.092Z,201.35,USD,201.35,USD,5,,2024-04-14T16:05:05.870Z,1370,CNY,189.31,USD,500,8860,CNY,1224.33,USD,37,2024-04-14T15:58:37.967Z,191.95,USD,191.95,USD,26,,2024-04-14T16:04:39.096Z,176.29,USD,176.29,USD,48,3395.3,USD,3395.3,USD,101,2024-04-14T16:02:11.785Z
0.72,USD,0.72,USD,323,,2024-04-14T15:46:33.878Z,0.84,EUR,0.9,USD,46,,2024-04-14T16:04:07.328Z,0.63,EUR,0.67,USD,229,,2024-04-14T16:03:09.408Z,0.51,USD,0.51,USD,154,,2024-04-14T16:01:05.092Z,0.7,USD,0.7,USD,120,,2024-04-14T16:05:05.870Z,5.37,CNY,0.74,USD,1785,4.9,CNY,0.67,USD,444,2024-04-14T16:04:44.627Z,0.61,USD,0.61,USD,197,,2024-04-14T16:04:39.105Z,0.64,USD,0.64,USD,288,0.68,USD,0.68,USD,21,2024-04-14T16:02:14.248Z
5.03,USD,5.03,USD,69,,2024-04-14T15:21:28.500Z,5.82,EUR,6.21,USD,67,,2024-04-14T16:04:07.328Z,5.59,EUR,5.94,USD,92,,2024-04-14T16:03:09.408Z,5.49,USD,5.49,USD,76,,2024-04-14T16:01:05.092Z,5.37,USD,5.37,USD,39,,2024-04-14T16:05:05.870Z,37.8,CNY,5.22,USD,1616,37.6,CNY,5.19,USD,351,2024-04-14T16:04:44.627Z,4.99,USD,4.99,USD,74,,2024-04-14T16:04:39.113Z,4.95,USD,4.95,USD,161,4.89,USD,4.89,USD,64,2024-04-14T16:02:25.729Z
0.96,USD,0.96,USD,790,,2024-04-14T15:43:43.335Z,0.98,EUR,1.05,USD,75,,2024-04-14T16:04:07.328Z,1,EUR,1.06,USD,651,,2024-04-14T16:03:09.408Z,0.13,USD,0.13,USD,489,,2024-04-14T16:01:05.092Z,1.13,USD,1.13,USD,223,,2024-04-14T16:05:05.870Z,7.8,CNY,1.07,USD,5718,7.9,CNY,1.09,USD,381,2024-04-14T16:02:56.833Z,0.96,USD,0.96,USD,626,,2024-04-14T16:04:39.109Z,1.04,USD,1.04,USD,395,0.97,USD,0.97,USD,61,2024-04-14T16:02:09.174Z
1.66,USD,1.66,USD,277,,2024-04-14T15:44:50.373Z,1.61,EUR,1.72,USD,52,,2024-04-14T16:04:07.328Z,1.6,EUR,1.7,USD,339,,2024-04-14T16:03:09.408Z,1.38,USD,1.38,USD,282,,2024-04-14T16:01:05.092Z,1.66,USD,1.66,USD,123,,2024-04-14T16:05:05.870Z,12.79,CNY,1.76,USD,6521,12.6,CNY,1.74,USD,686,2024-04-14T16:02:56.833Z,1.64,USD,1.64,USD,444,,2024-04-14T16:04:39.110Z,1.7,USD,1.7,USD,280,1.67,USD,1.67,USD,40,2024-04-14T16:02:08.500Z
0.7,USD,0.7,USD,558,,2024-04-14T15:12:46.540Z,0.94,EUR,1,USD,67,,2024-04-14T16:04:07.328Z,0.66,EUR,0.7,USD,473,,2024-04-14T16:03:09.408Z,0.65,USD,0.65,USD,283,,2024-04-14T16:01:05.092Z,0.72,USD,0.72,USD,173,,2024-04-14T16:05:05.870Z,5.5,CNY,0.76,USD,2326,5.1,CNY,0.7,USD,562,2024-04-14T15:59:39.222Z,0.68,USD,0.68,USD,277,,2024-04-14T16:04:39.107Z,0.69,USD,0.69,USD,376,1.2,USD,1.2,USD,37,2024-04-14T16:02:13.820Z
2.09,USD,2.09,USD,78,,2024-04-14T15:26:31.546Z,1.64,EUR,1.75,USD,26,,2024-04-14T16:04:07.328Z,2.07,EUR,2.2,USD,45,,2024-04-14T16:03:09.408Z,1.9,USD,1.9,USD,46,,2024-04-14T16:01:05.092Z,1.74,USD,1.74,USD,364,,2024-04-14T16:05:05.870Z,13.91,CNY,1.92,USD,589,12.7,CNY,1.75,USD,235,2024-04-14T15:56:49.405Z,1.93,USD,1.93,USD,62,,2024-04-14T16:04:39.156Z,2.1,USD,2.1,USD,99,2.05,USD,2.05,USD,33,2024-04-14T16:02:08.405Z
9.78,USD,9.78,USD,11,,2024-04-14T15:06:47.622Z,8.7,EUR,9.28,USD,24,,2024-04-14T16:04:07.328Z,13.01,EUR,13.83,USD,14,,2024-04-14T16:03:09.408Z,8.47,USD,8.47,USD,101,,2024-04-14T16:01:05.092Z,8.13,USD,8.13,USD,17,,2024-04-14T16:05:05.870Z,55.08,CNY,7.61,USD,967,55,CNY,7.6,USD,297,2024-04-14T15:59:55.315Z,7.58,USD,7.58,USD,43,,2024-04-14T16:04:39.166Z,9.97,USD,9.97,USD,28,13.59,USD,13.59,USD,55,2024-04-14T16:02:05.793Z
2.6,USD,2.6,USD,79,,2024-04-14T15:40:38.580Z,4,EUR,4.27,USD,54,,2024-04-14T16:04:07.328Z,2.51,EUR,2.67,USD,173,,2024-04-14T16:03:09.408Z,2.46,USD,2.46,USD,78,,2024-04-14T16:01:05.092Z,2.5,USD,2.5,USD,252,,2024-04-14T16:05:05.870Z,18.2,CNY,2.51,USD,1505,17.7,CNY,2.44,USD,465,2024-04-14T16:01:16.333Z,2.36,USD,2.36,USD,142,,2024-04-14T16:04:39.161Z,2.37,USD,2.37,USD,146,2.31,USD,2.31,USD,47,2024-04-14T16:02:17.953Z
3.99,USD,3.99,USD,77,,2024-04-14T15:48:01.898Z,3.33,EUR,3.55,USD,54,,2024-04-14T16:04:07.328Z,3.98,EUR,4.23,USD,71,,2024-04-14T16:03:09.408Z,4.05,USD,4.05,USD,67,,2024-04-14T16:01:05.092Z,3.55,USD,3.55,USD,113,,2024-04-14T16:05:05.870Z,27.68,CNY,3.82,USD,1008,27.6,CNY,3.81,USD,517,2024-04-14T15:54:45.568Z,3.81,USD,3.81,USD,62,,2024-04-14T16:04:39.163Z,3.94,USD,3.94,USD,30,4.23,USD,4.23,USD,50,2024-04-14T16:02:17.724Z
1.82,USD,1.82,USD,75,,2024-04-14T15:18:37.962Z,2.82,EUR,3.01,USD,26,,2024-04-14T16:04:07.328Z,2.1,EUR,2.23,USD,39,,2024-04-14T16:03:09.408Z,2.89,USD,2.89,USD,41,,2024-04-14T16:01:05.092Z,1.92,USD,1.92,USD,334,,2024-04-14T16:05:05.870Z,14.02,CNY,1.93,USD,677,13.8,CNY,1.9,USD,261,2024-04-14T15:59:08.118Z,1.97,USD,1.97,USD,77,,2024-04-14T16:04:39.159Z,1.99,USD,1.99,USD,114,2.15,USD,2.15,USD,53,2024-04-14T16:02:21.489Z
500.38,USD,500.38,USD,2,,2024-04-14T15:21:11.663Z,579.9,EUR,618.84,USD,3,,2024-04-14T16:04:07.328Z,484.68,EUR,515.24,USD,9,,2024-04-14T16:03:09.408Z,508,USD,508,USD,10,,2024-04-14T16:01:05.092Z,579.13,USD,579.13,USD,9,,2024-04-14T16:05:05.870Z,3760,CNY,519.58,USD,20,3640,CNY,502.99,USD,12,2024-04-14T15:57:05.341Z,493.5,USD,493.5,USD,9,,2024-04-14T16:04:39.195Z,517.85,USD,517.85,USD,11,473.03,USD,473.03,USD,22,2024-04-14T16:02:25.945Z
2700,USD,2700,USD,2,,2024-04-14T15:17:58.584Z,2500,EUR,2667.86,USD,2,,2024-04-14T16:04:07.328Z,2113.39,EUR,2246.64,USD,2,,2024-04-14T16:03:09.408Z,2275,USD,2275,USD,5,,2024-04-14T16:01:05.092Z,2485,USD,2485,USD,12,,2024-04-14T16:05:05.870Z,16300,CNY,2252.43,USD,101,15820,CNY,2186.1,USD,17,2024-04-14T15:58:22.558Z,2245,USD,2245,USD,5,,2024-04-14T16:04:39.209Z,2259.98,USD,2259.98,USD,2,2083,USD,2083,USD,10,2024-04-14T16:02:20.741Z
888.57,USD,888.57,USD,10,,2024-04-14T15:18:07.479Z,920,EUR,981.77,USD,8,,2024-04-14T16:04:07.328Z,780.62,EUR,829.84,USD,39,,2024-04-14T16:03:09.408Z,852.99,USD,852.99,USD,50,,2024-04-14T16:01:05.092Z,966.72,USD,966.72,USD,10,,2024-04-14T16:05:05.870Z,6349,CNY,877.34,USD,512,6410,CNY,885.77,USD,41,2024-04-14T15:59:39.222Z,916.84,USD,916.84,USD,32,,2024-04-14T16:04:39.203Z,861.52,USD,861.52,USD,12,893,USD,893,USD,38,2024-04-14T16:02:21.119Z
1214.3,USD,1214.3,USD,4,,2024-04-14T15:08:48.926Z,1088.88,EUR,1161.99,USD,10,,2024-04-14T16:04:07.328Z,1045,EUR,1110.89,USD,30,,2024-04-14T16:03:09.408Z,1098.99,USD,1098.99,USD,29,,2024-04-14T16:01:05.092Z,1164.06,USD,1164.06,USD,19,,2024-04-14T16:05:05.870Z,8299.88,CNY,1146.93,USD,488,8520,CNY,1177.34,USD,33,2024-04-14T15:59:08.118Z,1184.81,USD,1184.81,USD,13,,2024-04-14T16:04:39.205Z,1097,USD,1097,USD,20,1420,USD,1420,USD,26,2024-04-14T16:02:08.943Z
,,,,,,,,,,,,,,800,EUR,850.44,USD,2,,2024-04-14T16:03:09.408Z,795,USD,795,USD,6,,2024-04-14T16:01:05.092Z,747.12,USD,747.12,USD,7,,2024-04-14T16:05:05.870Z,5096.5,CNY,704.26,USD,13,4810,CNY,664.67,USD,12,2024-04-14T15:59:39.222Z,750.01,USD,750.01,USD,4,,2024-04-14T16:04:39.199Z,0,USD,0,USD,0,680,USD,680,USD,7,2024-04-14T16:02:25.945Z
,,,,,,,,,,,,,,62.59,EUR,66.54,USD,4,,2024-04-14T16:03:09.408Z,75,USD,75,USD,4,,2024-04-14T16:01:05.092Z,73.61,USD,73.61,USD,2,,2024-04-14T16:05:05.870Z,457.5,CNY,63.22,USD,8,374,CNY,51.68,USD,7,2024-04-14T15:57:36.421Z,70.39,USD,70.39,USD,4,,2024-04-14T16:04:39.198Z,91.1,USD,91.1,USD,1,48.67,USD,48.67,USD,5,2024-04-14T16:02:07.581Z
699,USD,699,USD,1,,2024-04-14T15:21:13.691Z,150,EUR,162.4,USD,1,,2024-04-05T07:55:45.726Z,127.1,EUR,135.11,USD,7,,2024-04-14T16:03:09.408Z,275,USD,275,USD,4,,2024-04-14T16:01:05.092Z,155.69,USD,155.69,USD,6,,2024-04-14T16:05:05.870Z,1099.99,CNY,152,USD,28,1470,CNY,203.13,USD,10,2024-04-14T15:58:53.088Z,152.63,USD,152.63,USD,4,,2024-04-14T16:04:39.209Z,159.45,USD,159.45,USD,3,127.78,USD,127.78,USD,12,2024-04-14T16:02:25.062Z
