Item,Platform,OrderType,ConvertedPrice,ConvertedCurrency,Count,UpdatedAt
3rd Commando Company | KSK,MARKETCSGO,sellOrder,6.4,USD,71,2024-04-14T16:05:05.870Z
3rd Commando Company | KSK,CSMONEY,sellOrder,6.66,USD,30,2024-04-14T15:51:52.395Z
3rd Commando Company | KSK,SKINBARON,sellOrder,7.03,USD,46,2024-04-14T16:02:31.064Z
3rd Commando Company | KSK,BUFF163,sellOrder,6.45,USD,466,2024-04-14T16:04:02.903Z
3rd Commando Company | KSK,BUFF163,buyOrder,6.08,USD,231,2024-04-14T16:04:02.903Z
3rd Commando Company | KSK,CSFLOAT,sellOrder,6.18,USD,31,2024-04-14T16:01:05.092Z
3rd Commando Company | KSK,BITSKINS,sellOrder,6.25,USD,256,2024-04-14T15:12:39.972Z
3rd Commando Company | KSK,SKINPORT,sellOrder,6.31,USD,421,2024-04-14T16:03:09.408Z
3rd Commando Company | KSK,DMARKET,sellOrder,6.94,USD,44,2024-04-14T16:02:12.719Z
3rd Commando Company | KSK,DMARKET,buyOrder,6.75,USD,36,2024-04-14T16:02:12.719Z
Aces High Pin,BITSKINS,sellOrder,7.2,USD,17,2024-04-14T15:12:38.268Z
Aces High Pin,BUFF163,sellOrder,5.99,USD,110,2024-04-14T15:58:37.967Z
Aces High Pin,BUFF163,buyOrder,5.66,USD,28,2024-04-14T15:58:37.967Z
Aces High Pin,CSMONEY,sellOrder,6.04,USD,3,2024-04-14T15:51:53.172Z
Aces High Pin,MARKETCSGO,sellOrder,5.68,USD,27,2024-04-14T16:05:05.870Z
Aces High Pin,SKINPORT,sellOrder,6.37,USD,45,2024-04-14T16:03:09.408Z
Aces High Pin,DMARKET,sellOrder,5.74,USD,33,2024-04-14T16:02:13.643Z
Aces High Pin,DMARKET,buyOrder,5.42,USD,9,2024-04-14T16:02:13.643Z
Aces High Pin,SKINBARON,sellOrder,13.85,USD,6,2024-04-14T15:59:16.803Z
AK-47 | Aquamarine Revenge (Battle-Scarred),CSMONEY,sellOrder,13.52,USD,37,2024-04-14T16:04:39.007Z
AK-47 | Aquamarine Revenge (Battle-Scarred),BUFF163,sellOrder,15.17,USD,87,2024-04-14T15:55:43.989Z
AK-47 | Aquamarine Revenge (Battle-Scarred),BUFF163,buyOrder,14.78,USD,18,2024-04-14T15:55:43.989Z
AK-47 | Aquamarine Revenge (Battle-Scarred),SKINBARON,sellOrder,16.39,USD,3,2024-04-14T16:04:07.328Z
AK-47 | Aquamarine Revenge (Battle-Scarred),CSFLOAT,sellOrder,14.23,USD,20,2024-04-14T16:01:05.092Z
AK-47 | Aquamarine Revenge (Battle-Scarred),BITSKINS,sellOrder,14.76,USD,12,2024-04-14T15:21:24.547Z
AK-47 | Aquamarine Revenge (Battle-Scarred),MARKETCSGO,sellOrder,17.02,USD,38,2024-04-14T16:05:05.870Z
AK-47 | Aquamarine Revenge (Battle-Scarred),SKINPORT,sellOrder,17.01,USD,4,2024-04-14T16:03:09.408Z
AK-47 | Aquamarine Revenge (Battle-Scarred),DMARKET,sellOrder,14.36,USD,31,2024-04-14T16:02:25.729Z
AK-47 | Aquamarine Revenge (Battle-Scarred),DMARKET,buyOrder,13.89,USD,48,2024-04-14T16:02:25.729Z
AK-47 | Aquamarine Revenge (Factory New),CSMONEY,sellOrder,99.19,USD,26,2024-04-14T16:04:39.016Z
AK-47 | Aquamarine Revenge (Factory New),SKINPORT,sellOrder,83.98,USD,37,2024-04-14T16:03:09.408Z
AK-47 | Aquamarine Revenge (Factory New),BUFF163,sellOrder,84.57,USD,424,2024-04-14T15:54:41.833Z
AK-47 | Aquamarine Revenge (Factory New),BUFF163,buyOrder,193.46,USD,86,2024-04-14T15:54:41.833Z
AK-47 | Aquamarine Revenge (Factory New),DMARKET,sellOrder,84.54,USD,24,2024-04-14T16:02:24.936Z
AK-47 | Aquamarine Revenge (Factory New),DMARKET,buyOrder,118.29,USD,32,2024-04-14T16:02:24.936Z
AK-47 | Aquamarine Revenge (Factory New),BITSKINS,sellOrder,88.3,USD,15,2024-04-14T15:21:05.091Z
AK-47 | Aquamarine Revenge (Factory New),MARKETCSGO,sellOrder,90.87,USD,14,2024-04-14T16:05:05.870Z
AK-47 | Aquamarine Revenge (Factory New),SKINBARON,sellOrder,89.64,USD,36,2024-04-14T16:04:07.328Z
AK-47 | Aquamarine Revenge (Factory New),CSFLOAT,sellOrder,86.91,USD,46,2024-04-14T16:01:05.092Z
AK-47 | Aquamarine Revenge (Field-Tested),SKINBARON,sellOrder,32.96,USD,49,2024-04-14T16:04:07.328Z
AK-47 | Aquamarine Revenge (Field-Tested),DMARKET,sellOrder,32.74,USD,38,2024-04-14T16:02:04.362Z
AK-47 | Aquamarine Revenge (Field-Tested),DMARKET,buyOrder,36.6,USD,53,2024-04-14T16:02:04.362Z
AK-47 | Aquamarine Revenge (Field-Tested),CSFLOAT,sellOrder,29.97,USD,47,2024-04-14T16:01:05.092Z
AK-47 | Aquamarine Revenge (Field-Tested),BITSKINS,sellOrder,34.63,USD,12,2024-04-14T15:06:06.726Z
AK-47 | Aquamarine Revenge (Field-Tested),CSMONEY,sellOrder,30.59,USD,61,2024-04-14T16:04:39.011Z
AK-47 | Aquamarine Revenge (Field-Tested),BUFF163,sellOrder,33.43,USD,683,2024-04-14T15:56:33.911Z
AK-47 | Aquamarine Revenge (Field-Tested),BUFF163,buyOrder,35.92,USD,267,2024-04-14T15:56:33.911Z
AK-47 | Aquamarine Revenge (Field-Tested),SKINPORT,sellOrder,33.73,USD,45,2024-04-14T16:03:09.408Z
AK-47 | Aquamarine Revenge (Field-Tested),MARKETCSGO,sellOrder,33.47,USD,46,2024-04-14T16:05:05.870Z
AK-47 | Aquamarine Revenge (Minimal Wear),MARKETCSGO,sellOrder,61.62,USD,39,2024-04-14T16:05:05.870Z
